No.,Stn. ID,Station Name,Software/Program,Telemetry,IP Address,Port,Phone #,Logger,Datalogger Upgrade,Date of Upgrade,OS Version-2025,Update OS-2026,Update Date,Service Provider,Active Date,Rain,Wind,Forecast Region,Corporate ,Latitude,Longitude,Elevation,Modem ,Web Access- Real Time data Connect,Remarks ,Notes,Notes2,Notes3
83,RKA,Rock Island Lake Auto,Loggernet,Cellular,96.1.108.163,6785,780-773-7386,CR850,,,std 32.03,,,Telus ,2016-08-31,TB3/Pluvio,RMY,Lac La Biche,Lac La Biche,55.3264,-113.4604,722,GX450,http://96.1.108.163:8000,,,,
84,S2,MARTEN HILLS AUTO,Loggernet,Cellular,96.1.99.158,6785,587-986-3762,CR850,,,std 32.07,,,Telus ,1998-04-30,TB3,RMY,Swan Hills,Slave Lake,55.5264,-114.5569,1000,RV55,http://96.1.99.158:8000,"Upgraded the logger to CR850 (CS) from FTS- June 26, 2025",Tricia configured the logger/Jason replace it at site,,
85,S4,Kinuso,Loggernet,Cellular,96.1.103.175,6785,587-985-9401,CR850,,,std 32.03,,,Telus ,2003-05-22,TB4,RMY,Swan Hills,Slave Lake,55.3031,-115.4917,611,RV55,http://96.1.103.175:8000,"Upgraded the logger CR850 from FTS to CR850 & the modem to RV55 - June 25, 2025/Used the same IP number 96.1.103.175",Tricia configured the logger/Jason replace it at site,,
86,S5,Loon River,Loggernet,Cellular,68.182.39.152,6785,780-773-6525,CR850,,,std 32.03,,,Telus ,2009-06-04,TB3/Pluvio,RMY,Red Earth,Slave Lake,57.1443,-115.0798,455,RV55,http://68.182.39.152:8000,,,,
87,S6,Wabasca Auto,Loggernet,Cellular,173.182.114.219,6785,N/A,CR1000X,,,std 06.02,,,Telus ,2012-05-05,TB3/Pluvio,RMY,Red Earth,Slave Lake,55.9627,-113.8254,555,RV55,http://173.182.114.219:8000,587-785-4352 Old Phone # - 96.1.108.7 Old IP used to STA Oct 2024,"Replaced the Datalogger & Modem- November 23, 2023",,
88,SAA,Saddle Hills Auto,Loggernet,Cellular,173.182.75.2,6785,587-986-0806,CR850,,,std 32.03,,,Telus ,2019-10-19,TB3/Pluvio,RMY,Grande Prairie,Grande Prairie,55.623,-119.7165,963,RV55,http://173.182.75.2:8000,,,,
89,SDA,Swan Dive AUTO,Loggernet,Cellular,96.1.64.163 ,6785,587-986-0806,CR850,CR1000Xe,11-Jun-26,std 32.03,CR1000X 8.5.0,11-Jun-26,Telus ,2014-08-22,TB4-Kisters,RMY,Swan Hills,Whitecourt,54.7283,-115.3556,1241,RV55,http://96.1.64.163:8000,"Replaced the data logger to CR1000Xe with new Configuration by Tricia, Charlene & Devin- June 11, 2026",,,
90,SEA,Sheep River Auto,Loggernet,Inmarsat,8.34.42.135,6785,-1289,CR1000X,,,std 07.01,,,BGAN,2024-07-16,TB4,RMY,Bow,Calgary,50.6392,-114.5068,1424,BGAN/Hughes 9502,http://8.34.42.135:8000,"New station July 16, 2024",,,
91,SHA,Strachan,Loggernet,Cellular,96.1.97.255,6785,587-589-1956,CR1000X,,,std 08.01,,,Telus ,2021-08-21,TB3,RMY,Rocky Mountain,Rocky Mountain,52.2367,-115.1967,1240,RV55,http://96.1.97.255:8000,"New station August 18, 2021",,,
92,SIA,Simonette Auto,Loggernet,Cellular,96.1.105.24,6785,587-643-4073,CR1000X,,,std 08.01,,,Telus ,2020-09-03,TB3,RMY,Edson,Edson,54.2337,-118.4147,1431,RV55,http://96.1.105.24:8000,New station Sep 2020,,,
93,SNA,Snuff Mountain Auto,Loggernet,Cellular,173.182.114.207,6785,587-785-4818,CR850,,,std 32.02,,,Telus ,2018-10-22,TB3,RMY,Grande Prairie,Grande Prairie,54.6783,-117.5387,942,GX450,http://173.182.114.207:8000,,,,
94,SPA,Salt Prairie Auto,Loggernet,Cellular,173.182.114.217,6785,587-873-0772,CR850,,,std 32.03,,,Telus ,2017-06-20,TB3,RMY,Red Earth,Slave Lake,55.6608,-115.8323,762,RV55,http://173.182.114.217:8000,"68.182.39.153 OLD IP/Phone: 587-873-0772 - Replaced new modem IP: 173.182.114.217 by Dylan June 20, 2024   ",,,
95,SQA,Sandy Lake Auto,Loggernet,Cellular,96.1.107.221,6785,780-773-6503,CR850,,,std 32.03,,,Telus ,2017-05-01,TB3,RMY,Red Earth,Slave Lake,55.8215,-113.67,631,GX400,http://96.1.107.221:8000,,,,
96,STA,Stony Mountain Auto,Loggernet,Cellular,96.1.108.7,6785,N/A,CR1000X,,,std 08.01,,,Telus ,2024-09-30,TB4,RMY,Fort McMurray,Fort McMurray,56.3897,-111.2807,750,RV55,http://96.1.108.7:8000,New Station September 2024,,,
97,SUA,Shunda Auto,Loggernet,Cellular,96.1.106.254,6785,825-993-5649,CR1000X,,,std 05.01,,,Telus ,2021-11-21,TB3,RMY,Rocky Mountain,Rocky Mountain,52.494,-115.7538,1420.76,RV55,http://96.1.106.254:8000,New Station Nov. 2021,,,
98,SVA,Steen River Auto,Loggernet,Cellular,96.1.97.142,6785,587-589-0746,CR1000X,,,std 32.05,,,Telus ,2020-09-02,TB3,RMY,High Level,High Level,59.6345,-117.7886,705,GX450,http://96.1.97.142:8000,New Station Sep 2020,,,
99,SWA,Sweathouse,Loggernet,Cellular,96.1.107.245,6785,780-844-0420,CR850,,,std 32.03,,,Telus ,2016-06-20,TB3,RMY,Red Earth,Slave Lake,54.8989,-116.7519,892,RV55,http://96.1.107.245:8000,"Replaced the modem from GX400 to RV55 by Jason R. - July 16, 2025",,,
100,TMA,Trout Mountain Auto,Loggernet,Cellular,96.1.97.205,6785,780-895-0375,CR850,,,std 32.03,`,,Telus ,2017-05-04,TB3,RMY,Red Earth,Slave Lake,56.796,-114.42,796,RV55,http://96.1.97.205:8000,,,,
101,TPA,Teepee Lake Auto,Loggernet,Cellular,96.1.98.158,6785,780-502-6235,CR850,,,std 32.03,,,Telus ,2017-06-20,TB3,RMY,Red Earth,Slave Lake,56.4582,-114.1184,782,GX450,http://96.1.98.158:8000,,,,
102,TSA,Tershishner Auto,Loggernet,Cellular,96.1.98.207,6785,780-502-6217,CR1000X,,,std 08.01,,,Telus ,2021-10-25,TB3,RMY,Rocky Mountain,Rocky Mountain,52.3367,-116.3573,1380,RV55,http://96.1.98.207:8000,"New Station Oct. 25, 2021",,,
103,TTA ,Talbot Lake Auto,Loggernet,Cellular,173.181.138.19,6785,587-784-2724,CR850,CR1000Xe,24-Jun-26,std 32.03,CR1000X 8.5.1,24-Jun-26,Telus ,2017-06-20,TB4-Kisters,RMY,Red Earth,Slave Lake,57.3487,-115.6564,822,RV55,http://173.181.138.19:8000,"Upgraded the datalogger to CR1000Xe with new Config on June 24, 2026 by Jason & Chase",,,
104,TYA,Tony Auto,Loggernet,Cellular,173.182.114.215,6785,780-333-3447,CR850,,,std 32.03,,,Telus ,2014-09-04,TB3,RMY,Swan Hills,Whitecourt,54.4054,-117.4915,1007,GX450,http://173.182.114.215:8000,,,,
105,VGA,VEGA  AUTO,Loggernet,Cellular,68.182.39.156,6785,587-986-9782,CR850,,,std 32.03,,,Telus ,2014-06-17,TB3,RMY,Swan Hills,Whitecourt,54.4284,-114.4295,713,RV55,http://68.182.39.156:8000,,,,
106,W4,Windfall Auto,Loggernet,Cellular,173.182.114.218,6785,587-873-0815,CR1000Xe,CR1000Xe,16-Jul-26,CR1000X 8.5.1,CR1000X 8.5.1,16-Jul-26,Telus ,1998-01-28,TB4-Kisters,RMY,Swan Hills,Whitecourt,54.1919,-116.2422,830,RV55,http://173.182.114.218:8000,"Replaced the data logger to CR1000Xe- CS from FTS on July 16, 2026 by Tricia and co.",,,
107,W5,Fox Creek Auto,Loggernet,Cellular,68.182.39.120,6785,587-9863-385,CR1000X,,,std 08.01,,,Telus ,2001-11-08,TB3,RMY,Swan Hills,Whitecourt,54.3974,-116.8025,850,RV55,http://68.182.39.120:8000,Updated 11/01/2019,"173.182.114.217 Old IP/Phone: 587-873-0772 Ravens - Replaced to new datalogger Loggernet New IP: 68.182.39.120  - Sep 21, 2023",,
108,W6,Timeu Creek Auto,Loggernet,Cellular,96.1.107.152,6785,587-643-5192,CR850,,,std 32.03,,,Telus ,2002-10-02,TB3,RMY,Swan Hills,Whitecourt,54.6546,-114.4318,730,RV55,http://96.1.107.152:8000,Old IP: 173.182.114.219 Replaced new modem 2023 - new IP: 96.1.107.195 ,"Replaced the Logger to LoggetNet from FTS New IP: 96.1.107.152 Old Phone No. 587-873-0584 - May 18, 2024","Replaced the logger back to CR850 trom CR1000X OS 32.03 with the same IP97.1.107.152 on Aug 6, 2025 by Jason & team",
109,W7,Berland Hills Auto,Loggernet,Cellular,96.1.106.252,6785,N/A,CR1000X,,,std 08.01,,,Telus ,2007-08-05,TB3,RMY,Swan Hills,Whitecourt,54.1466,-117.8901,1170,RV55,http://96.1.106.252:8000,New in Loggernet 8/18/2022 from Autocaller,Old Phone No. 825-993-5621,,
110,WAA,Waiparous Auto,Loggernet,Inmarsat,8.34.42.118,6785,-1267,CR1000X,CR1000Xe,29-Apr-26,std 07.01,CR1000X 8.5.0,29-Apr-26,BGAN,2024-06-26,TB4-Kisters,RMY,Bow,Calgary,51.4128,-115.0898,1567,NEW BGAN/Hughes 9502,http://8.34.42.118:8000,"Newly built station - June 26, 2024 as BGAN",Replaced new modem with new IP:8.34.42.118 Phone#+870772821544 old IP:8.34.42.127/Tel#870772872526 from B8- BGAN,"Replaced the to new BGAN Huges 9502 modem on July 10, 2025 with new IP #8.34.42.127 old IP8.34.42.119 Now Phone# 870-772-872-526 old # 870-772-821-545",Fixed & replaced new datalogger CR1000Xe/new modem with new configuration with Battery & TotalBucketWeight-Tricia/Chase/Chris/Robert 4/29/2026
111,WCA,Whitecourt  Auto,Loggernet,Cellular,96.1.64.167 ,6785,780-292-6916,CR850,CR1000Xe,10-Jun-26,std 32.03,CR1000X 8.5.0,10-Jun-26,Telus ,2014-08-06,TB4-Kisters/Pluvio,RMY,Swan Hills,Whitecourt,54.0325,-115.7208,1172,RV55,http://96.1.64.167:8000,"Replaced the data logger to CR1000Xe with new Configuration by Tricia, Charlene & Devin- June 10, 2026",,,
112,WDA,Whitemud Auto,Loggernet,Cellular,96.1.98.226,6785,780-502-6234,CR850,,,std 32.02,,,Telus ,2019-08-10,TB3,RMY,Mackenzie,Peace River,56.4223,-118.0022,835,GX450,http://96.1.98.226:8000,,,,
113,WFA,Whitefish Auto,Loggernet,Cellular,68.182.39.169,6785,780-201-0762,CR850,,,std 32.03,,,Telus ,2017-06-20,TB3,RMY,Red Earth,Slave Lake,56.1834,-115.4729,705,RV55,http://68.182.39.169:8000,,,,
114,WMA,White Mountain Auto,Loggernet,Cellular,173.182.75.4,6785,587-785.5943,CR850,,,std 32.03,,,Telus ,2019-10-10,TB3,RMY,Grande Prairie,Grande Prairie,55.7131,-119.2498,912,GX450,http://173.182.75.4:8000,,,,
115,WRA,Wandering River Auto,Loggernet,Cellular,96.1.109.34,6785,587-645-4021,CR850,,,std 32.02,,,Telus ,2016-08-26,TB3,RMY,Lac La Biche,Lac La Biche,55.2855,-112.4789,579,GX400,http://96.1.109.34:8000,,,,
120,PLA,Porcupne Auto,Loggernet,Cellular,68.182.39.124,6785,,CR1000X,,,,,TB4,RMY,Crow,Calgary,,,,,,,,,,,,

